Code	Struct	Label
8052/3	sub	Papillary epidermoid carcinoma
8053/0	title	"Squamous cell papilloma, inverted"
8060/0	title	Squamous papillomatosis
8060/0	sub	"Papillomatosis, NOS"
8070/2	title	"Squamous cell carcinoma in situ, NOS"
8070/2	sub	"Epidermoid carcinoma in situ, NOS"
8070/2	sub	"Intraepidermal carcinoma, NOS"
8070/2	sub	Intraepithelial squamous cell carcinoma
8070/3	title	"Squamous cell carcinoma, NOS"
8070/3	sub	"Epidermoid carcinoma, NOS"
8070/3	sub	Squamous carcinoma
8070/3	sub	Squamous cell epithelioma
8070/6	title	"Squamous cell carcinoma, metastatic, NOS"
8071/3	title	"Squamous cell carcinoma, keratinizing, NOS"
8071/3	sub	"Squamous cell carcinoma, large cell, keratinizing"
8071/3	sub	"Epidermoid carcinoma, keratinizing"
8072/3	title	"Squamous cell carcinoma, large cell, nonkeratinizing, NOS"
8072/3	sub	"Squamous cell carcinoma, nonkeratinizing, NOS"
8072/3	sub	"Epidermoid carcinoma, large cell, nonkeratinizing"
8073/3	title	"Squamous cell carcinoma, small cell, nonkeratinizing"
8073/3	sub	"Epidermoid carcinoma, small cell, nonkeratinizing"
8074/3	title	"Squamous cell carcinoma, spindle cell"
8074/3	sub	"Epidermoid carcinoma, spindle cell"
8074/3	sub	"Squamous cell carcinoma, sarcomatoid"
8075/3	title	"Squamous cell carcinoma, adenoid"
8075/3	sub	"Squamous cell carcinoma, pseudoglandular"
8075/3	sub	"Squamous cell carcinoma, acantholytic"
8076/2	title	Squamous cell carcinoma in situ with questionable stromal invasion
8076/2	sub	Epidermoid carcinoma in situ with questionable stromal invasion
8076/3	title	"Squamous cell carcinoma, microinvasive"
8077/2	title	"Squamous intraepithelial neoplasia, grade III"
8077/2	sub	"Cervical intraepithelial neoplasia, grade III"
8077/2	sub	"CIN III, NOS"
8077/2	sub	CIN III with severe dysplasia
8077/2	sub	"Vaginal intraepithelial neoplasia, grade III"
8077/2	sub	VAIN III
8077/2	sub	"Vulvar intraepithelial neoplasia, grade III"
8077/2	sub	VIN III
8077/2	sub	"Anal intraepithelial neoplasia, grade III"
8077/2	sub	AIN III
8078/3	title	Squamous cell carcinoma with horn formation
8080/2	title	Queyrat erythroplasia
8081/2	title	Bowen disease
8081/2	sub	"Intraepidermal squamous cell carcinoma, Bowen type"
8082/3	title	Lymphoepithelial carcinoma
8082/3	sub	Lymphoepithelioma
8082/3	sub	Lymphoepithelioma-like carcinoma
8082/3	sub	Schmincke tumor
8083/3	title	Basaloid squamous cell carcinoma
8084/3	title	"Squamous cell carcinoma, clear cell type"
8090/1	title	Basal cell tumor
8090/3	title	"Basal cell carcinoma, NOS"
8090/3	sub	Basal cell epithelioma
8090/3	sub	Rodent ulcer
8090/3	sub	Pigmented basal cell carcinoma
8091/3	title	Multifocal superficial basal cell carcinoma
8091/3	sub	Multicentric basal cell carcinoma
8092/3	title	"Infiltrating basal cell carcinoma, NOS"
8092/3	sub	"Infiltrating basal cell carcinoma, non-sclerosing"
8092/3	sub	"Infiltrating basal cell carcinoma, sclerosing"
8092/3	sub	"Basal cell carcinoma, morpheic"
8092/3	sub	"Basal cell carcinoma, desmoplastic type"
8093/3	title	"Basal cell carcinoma, fibroepithelial"
8093/3	sub	Fibroepithelioma of Pinkus type
8093/3	sub	"Fibroepithelial basal cell carcinoma, Pinkus type"
8093/3	sub	Pinkus tumor
8093/3	sub	"Fibroepithelioma, NOS"
8094/3	title	Basosquamous carcinoma
8094/3	sub	Mixed basal-squamous cell carcinoma
8095/3	title	Metatypical carcinoma
8096/0	title	Intraepidermal epithelioma of Jadassohn
8097/3	title	"Basal cell carcinoma, nodular"
8097/3	sub	"Basal cell carcinoma, micronodular"
8098/3	title	Adenoid basal carcinoma
8100/0	title	Trichoepithelioma
8100/0	sub	Brooke tumor
8100/0	sub	Epithelioma adenoides cysticum
8101/0	title	Trichofolliculoma
8102/0	title	Trichilemmoma
8102/3	title	Trichilemmocarcinoma
8102/3	sub	Trichilemmal carcinoma
8103/0	title	Pilar tumor
8103/0	sub	Proliferating trichilemmal cyst
8103/0	sub	Proliferating trichilemmal tumor
8110/0	title	"Pilomatrixoma, NOS"
8110/0	sub	Calcifying epithelioma of Malherbe
8110/0	sub	"Pilomatricoma, NOS"
8110/3	title	Pilomatrix carcinoma
8110/3	sub	"Pilomatrixoma, malignant"
8110/3	sub	"Pilomatricoma, malignant"
8110/3	sub	Matrical carcinoma
8120/0	title	"Transitional cell papilloma, benign"
8120/0	sub	Transitional papilloma
8120/1	title	"Urothelial papilloma, NOS"
8120/1	sub	Papilloma of bladder
8120/1	sub	"Transitional cell papilloma, NOS"
8120/2	title	Transitional cell carcinoma in situ
8120/2	sub	Urothelial carcinoma in situ
8120/3	title	"Transitional cell carcinoma, NOS"
8120/3	sub	"Urothelial carcinoma, NOS"
8120/3	sub	Transitional carcinoma
8121/0	title	"Schneiderian papilloma, NOS"
8121/0	sub	"Sinonasal papilloma, NOS"
8121/0	sub	"Sinonasal papilloma, exophytic"
8121/0	sub	"Sinonasal papilloma, fungiform"
8121/0	sub	"Transitional cell papilloma, inverted, benign"
8121/0	sub	"Transitional papilloma, inverted, benign"
8121/1	title	"Transitional cell papilloma, inverted, NOS"
8121/1	sub	"Transitional papilloma, inverted, NOS"
8121/1	sub	"Schneiderian papilloma, inverted"
8121/1	sub	Columnar cell papilloma
8121/1	sub	Cylindrical cell papilloma
8121/1	sub	Oncocytic Schneiderian papilloma
8121/3	title	Schneiderian carcinoma
8121/3	sub	Cylindrical cell carcinoma
8122/3	title	"Transitional cell carcinoma, spindle cell"
8122/3	sub	"Transitional cell carcinoma, sarcomatoid"
8123/3	title	Basaloid carcinoma
8124/3	title	Cloacogenic carcinoma
8130/1	title	Papillary transitional cell neoplasm of low malignant potential
8130/1	sub	Papillary urothelial neoplasm of low malignant potential
8130/2	title	"Papillary transitional cell carcinoma,  non-invasive"
8130/2	sub	"Papillary urothelial carcinoma, non-invasive"
8130/3	title	Papillary transitional cell carcinoma
8130/3	sub	Papillary urothelial carcinoma
8131/3	title	"Transitional cell carcinoma, micropapillary"
8140/0	title	"Adenoma, NOS"
8140/1	title	Atypical adenoma
8140/1	sub	"Bronchial adenoma, NOS"
8140/2	title	"Adenocarcinoma in situ, NOS"
8140/3	title	"Adenocarcinoma, NOS"
8140/6	title	"Adenocarcinoma, metastatic, NOS"
8141/3	title	Scirrhous adenocarcinoma
8141/3	sub	Scirrhous carcinoma
8141/3	sub	Carcinoma with productive fibrosis
8142/3	title	Linitis plastica
8143/3	title	Superficial spreading adenocarcinoma
8144/3	title	"Adenocarcinoma, intestinal type"
8144/3	sub	"Carcinoma, intestinal type"
8145/3	title	"Carcinoma, diffuse type"
8145/3	sub	"Adenocarcinoma, diffuse type"
8146/0	title	Monomorphic adenoma
8147/0	title	Basal cell adenoma
8147/3	title	Basal cell adenocarcinoma
8148/2	title	"Glandular intraepithelial neoplasia, grade III"
8148/2	sub	"Prostatic intraepithelial neoplasia, grade III"
8148/2	sub	PIN III
8149/0	title	Canalicular adenoma
8150/0	title	Islet cell adenoma
8150/0	sub	"Islet cell tumor, benign"
8150/0	sub	Nesidioblastoma
8150/0	sub	Islet cell adenomatosis
8150/1	title	"Islet cell tumor, NOS"
8150/3	title	Islet cell carcinoma
8150/3	sub	Islet cell adenocarcinoma
8151/0	title	"Insulinoma, NOS"
8151/0	sub	Beta cell adenoma
8151/3	title	"Insulinoma, malignant"
8151/3	sub	"Beta cell tumor, malignant"
8152/1	title	"Glucagonoma, NOS"
8152/1	sub	"Alpha cell tumor, NOS"
8152/3	title	"Glucagonoma, malignant"
8152/3	sub	"Alpha cell tumor, malignant"
8153/1	title	"Gastrinoma, NOS"
8153/1	sub	"G cell tumor, NOS"
8153/1	sub	Gastrin cell tumor
8153/3	title	"Gastrinoma, malignant"
8153/3	sub	"G cell tumor, malignant"
8153/3	sub	"Gastrin cell tumor, malignant"
8154/3	title	Mixed islet cell and exocrine adenocarcinoma
8154/3	sub	Mixed acinar-endocrine carcinoma
8154/3	sub	Mixed ductal-endocrine carcinoma
8155/1	title	"Vipoma, NOS"
8155/3	title	"Vipoma, malignant"
8156/1	title	"Somatostatinoma, NOS"
8156/1	sub	"Somatostatin cell tumor, NOS"
8156/3	title	"Somatostatinoma, malignant"
8156/3	sub	"Somatostatin cell tumor, malignant"
8157/1	title	"Enteroglucagonoma, NOS"
8157/3	title	"Enteroglucagonoma, malignant"
8160/0	title	Bile duct adenoma
8160/0	sub	Cholangioma
8160/3	title	Cholangiocarcinoma
8160/3	sub	Bile duct carcinoma
8160/3	sub	Bile duct adenocarcinoma
8161/0	title	Bile duct cystadenoma
8161/3	title	Bile duct cystadenocarcinoma
8162/3	title	Klatskin tumor
8170/0	title	Liver cell adenoma
8170/0	sub	Hepatocellular adenoma
8170/0	sub	"Hepatoma, benign"
8170/3	title	"Hepatocellular carcinoma, NOS"
8170/3	sub	Liver cell carcinoma
8170/3	sub	Hepatocarcinoma
8170/3	sub	"Hepatoma, malignant"
8170/3	sub	"Hepatoma, NOS"
8171/3	title	"Hepatocellular carcinoma, fibrolamellar"
8172/3	title	"Hepatocellular carcinoma, scirrhous"
8172/3	sub	Sclerosing hepatic carcinoma
8173/3	title	"Hepatocellular carcinoma, spindle cell variant"
8173/3	sub	"Hepatocellular carcinoma, sarcomatoid"
8174/3	title	"Hepatocellular carcinoma, clear cell type"
8175/3	title	"Hepatocellular carcinoma, pleomorphic type"
8180/3	title	Combined hepatocellular carcinoma and cholangiocarcinoma
8180/3	sub	Mixed hepatocellular and bile duct carcinoma
8180/3	sub	Hepatocholangiocarcinoma
8190/0	title	Trabecular adenoma
8190/3	title	Trabecular adenocarcinoma
8190/3	sub	Trabecular carcinoma
8191/0	title	Embryonal adenoma
8200/0	title	Eccrine dermal cylindroma
8200/0	sub	Turban tumor
8200/0	sub	Cylindroma of skin
8200/3	title	Adenoid cystic carcinoma
8200/3	sub	Adenocystic carcinoma
8200/3	sub	"Cylindroma, NOS"
8200/3	sub	"Adenocarcinoma, cylindroid"
8200/3	sub	"Bronchial adenoma, cylindroid"
8201/2	title	Cribriform carcinoma in situ
8201/2	sub	"Ductal carcinoma in situ, cribriform type"
8201/3	title	"Cribriform carcinoma, NOS"
8201/3	sub	"Ductal carcinoma, cribriform type"
8202/0	title	Microcystic adenoma
8204/0	title	Lactating adenoma
8210/0	title	"Adenomatous polyp, NOS"
8210/0	sub	Polypoid adenoma
8210/2	title	Adenocarcinoma in situ in adenomatous polyp
8210/2	sub	Adenocarcinoma in situ in tubular adenoma
8210/2	sub	Carcinoma in situ in adenomatous polyp
8210/2	sub	Adenocarcinoma in situ in polypoid adenoma
8210/2	sub	"Adenocarcinoma in situ in a polyp, NOS"
8210/2	sub	"Carcinoma in situ in a polyp, NOS"
8210/3	title	Adenocarcinoma in adenomatous polyp
8210/3	sub	Adenocarcinoma in tubular adenoma
8210/3	sub	Carcinoma in adenomatous polyp
8210/3	sub	Adenocarcinoma in polypoid adenoma
8210/3	sub	"Adenocarcinoma in a polyp, NOS"
8210/3	sub	"Carcinoma in a polyp, NOS"
8211/0	title	"Tubular adenoma, NOS"
8211/3	title	Tubular adenocarcinoma
8211/3	sub	Tubular carcinoma
8212/0	title	Flat adenoma
8213/0	title	Serrated adenoma
8213/0	sub	Mixed adenomatous and hyperplastic polyp
8214/3	title	Parietal cell carcinoma
8214/3	sub	Parietal cell adenocarcinoma
8215/3	title	Adenocarcinoma of anal glands
8215/3	sub	Adenocarcinoma of anal ducts
8220/0	title	Adenomatous polyposis coli
8220/0	sub	Familial polyposis coli
8220/0	sub	"Adenomatosis, NOS"
8220/3	title	Adenocarcinoma in adenomatous polyposis coli
8221/0	title	Multiple adenomatous polyps
8221/3	title	Adenocarcinoma in multiple adenomatous polyps
8230/2	title	"Ductal carcinoma in situ, solid type"
8230/2	sub	"Intraductal carcinoma, solid type"
8230/3	title	"Solid carcinoma, NOS"
8230/3	sub	Solid carcinoma with mucin formation
8230/3	sub	Solid adenocarcinoma with mucin formation
8231/3	title	Carcinoma simplex
8240/1	title	Carcinoid tumor of uncertain malignant potential
8240/1	sub	"Carcinoid tumor, NOS, of appendix"
8240/1	sub	"Carcinoid, NOS, of appendix"
8240/1	sub	"Carcinoid tumor, argentaffin, NOS"
8240/1	sub	"Argentaffinoma, NOS"
8240/3	title	"Carcinoid tumor, NOS"
8240/3	sub	"Carcinoid, NOS"
8240/3	sub	Typical carcinoid
8240/3	sub	"Bronchial adenoma, carcinoid"
8241/3	title	Enterochromaffin cell carcinoid
8241/3	sub	"Carcinoid tumor, argentaffin, malignant"
8241/3	sub	"Argentaffinoma, malignant"
8241/3	sub	EC cell carcinoid
8241/3	sub	Serotonin producing carcinoid
8242/1	title	"Enterochromaffin-like cell carcinoid, NOS"
8242/1	sub	"ECL cell carcinoid, NOS"
8242/3	title	"Enterochromaffin-like cell tumor, malignant"
8242/3	sub	"ECL cell carcinoid, malignant"
8243/3	title	Goblet cell carcinoid
8243/3	sub	Mucocarcinoid tumor
8243/3	sub	Mucinous carcinoid
8244/3	title	Composite carcinoid
8244/3	sub	Combined carcinoid and adenocarcinoma
8244/3	sub	Mixed carcinoid-adenocarcinoma
8245/1	title	Tubular carcinoid
8245/3	title	Adenocarcinoid tumor
8246/3	title	"Neuroendocrine carcinoma, NOS"
8247/3	title	Merkel cell carcinoma
8247/3	sub	Merkel cell tumor
8247/3	sub	Primary cutaneous neuroendocrine carcinoma
8248/1	title	Apudoma
8249/3	title	Atypical carcinoid tumor
8250/1	title	Pulmonary adenomatosis
8250/3	title	"Bronchiolo-alveolar adenocarcinoma, NOS"
8250/3	sub	"Bronchiolo-alveolar carcinoma, NOS"
8250/3	sub	Bronchiolar adenocarcinoma
8250/3	sub	Bronchiolar carcinoma
8250/3	sub	Alveolar cell carcinoma
8251/0	title	Alveolar adenoma
8251/3	title	Alveolar adenocarcinoma
8251/3	sub	Alveolar carcinoma
8252/3	title	"Bronchiolo-alveolar carcinoma, non- mucinous"
8252/3	sub	"Bronchiolo-alveolar carcinoma, Clara cell"
8252/3	sub	"Bronchiolo-alveolar carcinoma, type II pneumocyte"
8253/3	title	"Bronchiolo-alveolar carcinoma, mucinous"
8253/3	sub	"Bronchiolo-alveolar carcinoma, goblet cell type"
8254/3	title	"Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous"
8254/3	sub	"Bronchiolo-alveolar carcinoma, Clara cell and goblet cell type"
8254/3	sub	"Bronchiolo-alveolar carcinoma, type II pneumocyte and goblet cell type"
8254/3	sub	"Bronchiolo-alveolar carcinoma, indeterminate type"
8255/3	title	Adenocarcinoma with mixed subtypes
8255/3	sub	Adenocarcinoma combined with other types of carcinoma
8260/0	title	"Papillary adenoma, NOS"
8260/0	sub	Glandular papilloma
8260/3	title	"Papillary adenocarcinoma, NOS"
8260/3	sub	Papillary carcinoma of thyroid
8260/3	sub	Papillary renal cell carcinoma
8261/0	title	"Villous adenoma, NOS"
8261/0	sub	Villous papilloma
8261/2	title	Adenocarcinoma in situ in villous adenoma
8261/3	title	Adenocarcinoma in villous adenoma
8262/3	title	Villous adenocarcinoma
8263/0	title	"Tubulovillous adenoma, NOS"
8263/0	sub	Villoglandular adenoma
8263/0	sub	Papillotubular adenoma
8263/2	title	Adenocarcinoma in situ in tubulovillous adenoma
8263/3	title	Adenocarcinoma in tubulovillous adenoma
8263/3	sub	Papillotubular adenocarcinoma
8263/3	sub	Tubulopapillary adenocarcinoma
8264/0	title	"Papillomatosis, glandular"
8264/0	sub	Biliary papillomatosis
8270/0	title	Chromophobe adenoma
8270/3	title	Chromophobe carcinoma
8270/3	sub	Chromophobe adenocarcinoma
8271/0	title	Prolactinoma
8272/0	title	"Pituitary adenoma, NOS"
8272/3	title	"Pituitary carcinoma, NOS"
8280/0	title	Acidophil adenoma
8280/0	sub	Eosinophil adenoma
8280/3	title	Acidophil carcinoma
8280/3	sub	Acidophil adenocarcinoma
8280/3	sub	Eosinophil carcinoma
8280/3	sub	Eosinophil adenocarcinoma
8281/0	title	Mixed acidophil-basophil adenoma
8281/3	title	Mixed acidophil-basophil carcinoma
8290/0	title	Oxyphilic adenoma
8290/0	sub	Oncocytic adenoma
8290/0	sub	Oncocytoma
8290/0	sub	Hurthle cell adenoma
8290/0	sub	Hurthle cell tumor
8290/0	sub	"Follicular adenoma, oxyphilic cell"
8290/3	title	Oxyphilic adenocarcinoma
8290/3	sub	Oncocytic carcinoma
8290/3	sub	Oncocytic adenocarcinoma
8290/3	sub	Hurthle cell carcinoma
8290/3	sub	Hurthle cell adenocarcinoma
8290/3	sub	"Follicular carcinoma, oxyphilic cell"
8300/0	title	Basophil adenoma
8300/0	sub	Mucoid cell adenoma
8300/3	title	Basophil carcinoma
8300/3	sub	Basophil adenocarcinoma
8300/3	sub	Mucoid cell adenocarcinoma
8310/0	title	Clear cell adenoma
8310/3	title	"Clear cell adenocarcinoma, NOS"
8310/3	sub	Clear cell carcinoma
8310/3	sub	"Clear cell adenocarcinoma, mesonephroid"
8311/1	title	Hypernephroid tumor
8312/3	title	"Renal cell carcinoma, NOS"
8312/3	sub	Renal cell adenocarcinoma
8312/3	sub	Grawitz tumor
8312/3	sub	Hypernephroma
8313/0	title	Clear cell adenofibroma
8313/0	sub	Clear cell cystadenofibroma
8313/1	title	Clear cell adenofibroma of borderline malignancy
8313/1	sub	Clear cell cystadenofibroma of borderline malignancy
8313/3	title	Clear cell adenocarcinofibroma
8313/3	sub	Clear cell cystadenocarcinofibroma
8314/3	title	Lipid-rich carcinoma
8315/3	title	Glycogen-rich carcinoma
8316/3	title	Cyst-associated renal cell carcinoma
8317/3	title	"Renal cell carcinoma, chromophobe type"
8317/3	sub	Chromophobe cell renal carcinoma
8318/3	title	"Renal cell carcinoma, sarcomatoid"
8318/3	sub	"Renal cell carcinoma, spindle cell"
8319/3	title	Collecting duct carcinoma
8319/3	sub	Bellini duct carcinoma
8319/3	sub	"Renal carcinoma, collecting duct type"
8320/3	title	Granular cell carcinoma
8320/3	sub	Granular cell adenocarcinoma
8321/0	title	Chief cell adenoma
8322/0	title	Water-clear cell adenoma
8322/3	title	Water-clear cell adenocarcinoma
8322/3	sub	Water-clear cell carcinoma
8323/0	title	Mixed cell adenoma
8323/3	title	Mixed cell adenocarcinoma
8324/0	title	Lipoadenoma
8324/0	sub	Adenolipoma
8325/0	title	Metanephric adenoma
8330/0	title	Follicular adenoma
8330/1	title	Atypical follicular adenoma
8330/3	title	"Follicular adenocarcinoma, NOS"
8330/3	sub	"Follicular carcinoma, NOS"
8331/3	title	"Follicular adenocarcinoma, well differentiated"
8331/3	sub	"Follicular carcinoma, well differentiated"
8332/3	title	"Follicular adenocarcinoma, trabecular"
8332/3	sub	"Follicular carcinoma, trabecular"
8332/3	sub	"Follicular adenocarcinoma, moderately differentiated"
8332/3	sub	"Follicular carcinoma, moderately differentiated"
8333/0	title	"Microfollicular adenoma, NOS"
8333/0	sub	Fetal adenoma
8333/3	title	Fetal adenocarcinoma
8334/0	title	Macrofollicular adenoma
8334/0	sub	Colloid adenoma
8335/3	title	"Follicular carcinoma, minimally invasive"
8335/3	sub	"Follicular carcinoma, encapsulated"
8336/0	title	Hyalinizing trabecular adenoma
8337/3	title	Insular carcinoma
8340/3	title	"Papillary carcinoma, follicular variant"
8340/3	sub	"Papillary adenocarcinoma, follicular variant"
8340/3	sub	Papillary and follicular adenocarcinoma
8340/3	sub	Papillary and follicular carcinoma
8341/3	title	Papillary microcarcinoma
8342/3	title	"Papillary carcinoma, oxyphilic cell"
8343/3	title	"Papillary carcinoma, encapsulated"
8344/3	title	"Papillary carcinoma, columnar cell"
8344/3	sub	"Papillary carcinoma, tall cell"
8345/3	title	Medullary carcinoma with amyloid stroma
8345/3	sub	Parafollicular cell carcinoma
8345/3	sub	C cell carcinoma
8346/3	title	Mixed medullary-follicular carcinoma
8347/3	title	Mixed medullary-papillary carcinoma
8350/3	title	Nonencapsulated sclerosing carcinoma
8350/3	sub	Nonencapsulated sclerosing adenocarcinoma
8350/3	sub	Nonencapsulated sclerosing tumor
8350/3	sub	"Papillary carcinoma, diffuse sclerosing"
8360/1	title	Multiple endocrine adenomas
8360/1	sub	Endocrine adenomatosis
8361/0	title	Juxtaglomerular tumor
8361/0	sub	Reninoma
8370/0	title	"Adrenal cortical adenoma, NOS"
8370/0	sub	"Adrenal cortical tumor, benign"
8370/0	sub	"Adrenal cortical tumor, NOS"
8370/3	title	Adrenal cortical carcinoma
8370/3	sub	Adrenal cortical adenocarcinoma
8370/3	sub	"Adrenal cortical tumor, malignant"
8371/0	title	"Adrenal cortical adenoma, compact cell"
8372/0	title	"Adrenal cortical adenoma, pigmented"
8372/0	sub	Black adenoma
8372/0	sub	Pigmented adenoma
8373/0	title	"Adrenal cortical adenoma, clear cell"
8374/0	title	"Adrenal cortical adenoma, glomerulosa cell"
8375/0	title	"Adrenal cortical adenoma, mixed cell"
8380/0	title	"Endometrioid adenoma, NOS"
8380/0	sub	"Endometrioid cystadenoma, NOS"
8380/1	title	"Endometrioid adenoma, borderline malignancy"
8380/1	sub	"Endometrioid cystadenoma, borderline malignancy"
8380/1	sub	Endometrioid tumor of low malignant potential
8380/1	sub	Atypical proliferative endometrioid tumor
8380/3	title	"Endometrioid adenocarcinoma, NOS"
8380/3	sub	"Endometrioid carcinoma, NOS"
8380/3	sub	Endometrioid cystadenocarcinoma
8381/0	title	"Endometrioid adenofibroma, NOS"
8381/0	sub	"Endometrioid cystadenofibroma, NOS"
8381/1	title	"Endometrioid adenofibroma, borderline malignancy"
8381/1	sub	"Endometrioid cystadenofibroma, borderline malignancy"
8381/3	title	"Endometrioid adenofibroma, malignant"
8381/3	sub	"Endometrioid cystadenofibroma, malignant"
8382/3	title	"Endometrioid adenocarcinoma, secretory variant"
8383/3	title	"Endometrioid adenocarcinoma, ciliated cell variant"
8384/3	title	"Adenocarcinoma, endocervical type"
8390/0	title	Skin appendage adenoma
8390/0	sub	"Skin appendage tumor, benign"
8390/0	sub	"Adnexal tumor, benign"
8390/3	title	Skin appendage carcinoma
8390/3	sub	Adnexal carcinoma
8391/0	title	Follicular fibroma
8391/0	sub	Trichodiscoma
8391/0	sub	Fibrofolliculoma
8391/0	sub	Perifollicular fibroma
8392/0	title	Syringofibroadenoma
8400/0	title	Sweat gland adenoma
8400/0	sub	"Sweat gland tumor, benign"
8400/0	sub	"Hidradenoma, NOS"
8400/0	sub	"Syringadenoma, NOS"
8400/1	title	"Sweat gland tumor, NOS"
8400/3	title	Sweat gland adenocarcinoma
8400/3	sub	Sweat gland carcinoma
8400/3	sub	"Sweat gland tumor, malignant"
8401/0	title	Apocrine adenoma
8401/0	sub	Apocrine cystadenoma
8401/3	title	Apocrine adenocarcinoma
8402/0	title	Nodular hidradenoma
8402/0	sub	Eccrine acrospiroma
8402/0	sub	Clear cell hidradenoma
8402/3	title	"Nodular hidradenoma, malignant"
8402/3	sub	Hidradenocarcinoma
8403/0	title	Eccrine spiradenoma
8403/0	sub	"Spiradenoma, NOS"
8403/3	title	Malignant eccrine spiradenoma
8404/0	title	Hidrocystoma
8404/0	sub	Eccrine cystadenoma
8405/0	title	Papillary hidradenoma
8405/0	sub	Hidradenoma papilliferum
8406/0	title	Papillary syringadenoma
8406/0	sub	Papillary syringocystadenoma
8406/0	sub	Syringocystadenoma papilliferum
8407/0	title	"Syringoma, NOS"
8407/3	title	Sclerosing sweat duct carcinoma
8407/3	sub	Syringomatous carcinoma
8407/3	sub	Microcystic adnexal carcinoma
8408/0	title	Eccrine papillary adenoma
8408/1	title	Aggressive digital papillary adenoma
8408/3	title	Eccrine papillary adenocarcinoma
8408/3	sub	Digital papillary adenocarcinoma
8409/0	title	Eccrine poroma
8409/3	title	"Eccrine poroma, malignant"
8409/3	sub	Porocarcinoma
8410/0	title	Sebaceous adenoma
8410/0	sub	Sebaceous epithelioma
